leaf,token,weight,cluster_size,method,lambda
C-1,5bd2bc00e2d358e0,0.037037037037037035,10,joint_set_search,0
C-2,f077a062ad9b55e9,0.037037037037037035,10,joint_set_search,0
C-3,03dfd23cf97c590f,0.037037037037037035,10,joint_set_search,0
C-4,7e40ef4f0d5b5cc9,0.037037037037037035,10,joint_set_search,0
C-5,1d0334886e9f535b,0.037037037037037035,10,joint_set_search,0
C-6,14fe69db03425780,0.037037037037037035,10,joint_set_search,0
C-7,1e9350ac2bc25f59,0.037037037037037035,10,joint_set_search,0
C-8,d5812df28c1558ba,0.037037037037037035,10,joint_set_search,0
C-9,342f42c4b2855ffb,0.037037037037037035,10,joint_set_search,0
C-10,3067f3d3d5a75989,0.037037037037037035,10,joint_set_search,0
I-1,9605af7df76f5ba3,0.037037037037037035,10,joint_set_search,0
I-2,0d5b8da00d505be0,0.037037037037037035,10,joint_set_search,0
I-3,76da778ff251508d,0.037037037037037035,10,joint_set_search,0
R-1,14d53f85ccc65f23,0.037037037037037035,10,joint_set_search,0
R-2,02b68b9cc51f506a,0.037037037037037035,10,joint_set_search,0
R-3,0777f5a7263758be,0.037037037037037035,10,joint_set_search,0
R-4,225eb6e22af55972,0.037037037037037035,10,joint_set_search,0
V-1,9157902936a456bf,0.037037037037037035,10,joint_set_search,0
V-2,7956fe13f69e53dc,0.037037037037037035,10,joint_set_search,0
V-3,c1c5dec6bab3598a,0.037037037037037035,10,joint_set_search,0
V-4,2ad17379a25d55d9,0.037037037037037035,10,joint_set_search,0
V-5,ac019d81388056be,0.037037037037037035,10,joint_set_search,0
V-6,9ac86ade68505597,0.037037037037037035,10,joint_set_search,0
V-7,0ce170237acd51c2,0.037037037037037035,10,joint_set_search,0
V-9,3a5278b27c87565f,0.037037037037037035,10,joint_set_search,0
V-10,13c555e68671524f,0.037037037037037035,10,joint_set_search,0
V-11,2073f76964735ff7,0.037037037037037035,10,joint_set_search,0
