model,split,full_DS,proxy_DS,full_SR,proxy_SR
autovla,development,52.767357142857094,50.58685714285714,32.857142857142854,28.571428571428566
diffusiondrive,development,46.08047500000002,45.15392857142857,22.142857142857142,17.857142857142854
diffusiondrive_beyonddrive,development,47.24009285714284,45.017107142857135,21.071428571428573,17.857142857142854
diffusiondrive_simscale,development,52.3782,53.358250000000005,35.35714285714286,35.7142857142857
drivelaw,development,34.996478571428554,34.462142857142865,1.7857142857142856,0.0
drivevla_w0,development,45.68530357142856,48.00632142857141,29.642857142857142,32.14285714285713
drivor,heldout,64.16443214285714,68.51617857142857,50.71428571428571,57.14285714285713
ltf,development,52.34281071428567,46.12299999999998,27.142857142857142,17.857142857142854
mtdrive_mtgrpo,development,57.13293928571428,49.347142857142856,42.5,32.14285714285713
mtdrive_sft,development,48.48518214285711,47.47592857142857,31.071428571428573,24.999999999999993
rap,development,47.53501785714285,41.856749999999984,27.857142857142858,17.857142857142854
recogdrive_il,heldout,49.04218214285713,46.39739285714285,28.57142857142857,21.428571428571423
recogdrive_rl,heldout,55.089467857142836,60.28628571428571,33.57142857142857,35.7142857142857
simwam,heldout,55.845482142857136,65.21989285714284,36.78571428571429,53.571428571428555
simwam_rl,heldout,57.13744642857142,64.13303571428571,32.5,49.999999999999986
sparsedrivev2,development,64.32389642857143,68.466,47.14285714285714,53.571428571428555
