leaf,n50,fixed28_heldout_DS,fixed50_heldout_DS,fixed28_heldout_SR,fixed50_heldout_SR,oof28_DS,oof50_DS,oof28_SR,oof50_SR
C-1,2,31.29572,18.76555999999999,38.0,26.0,31.267987500000004,9.720999999999998,40.625,20.625
C-2,2,12.363359999999997,17.33826,21.999999999999996,21.999999999999996,14.34685625,14.164456249999999,17.5,16.250000000000004
C-3,2,19.9754,14.033279999999998,27.999999999999996,20.000000000000004,19.150168750000002,9.659293750000002,26.249999999999996,12.500000000000005
C-4,2,29.9989,5.340260000000003,48.0,20.0,31.31904375000001,13.58933125,44.375,21.249999999999996
C-5,3,30.421259999999993,11.604759999999995,46.0,20.0,23.96361875,12.482193749999993,36.875,19.374999999999996
C-6,2,25.13386000000001,22.639380000000003,48.0,42.00000000000001,22.052349999999997,10.823725000000001,37.49999999999999,10.625000000000002
C-7,1,30.630860000000006,30.630860000000006,40.0,40.0,23.901024999999997,8.756487500000004,19.375,12.500000000000004
C-8,2,26.183100000000003,12.934539999999997,40.0,20.0,26.61988125,15.073743749999997,40.62500000000001,18.125000000000004
C-9,2,30.735039999999998,23.037679999999998,40.0,32.0,28.1315875,12.267668750000002,32.49999999999999,10.625
C-10,1,18.436,18.436,20.0,20.0,10.70194375,10.70194375,11.875,11.875
I-1,2,31.687160000000002,18.381880000000002,48.0,11.999999999999996,30.44564999999999,14.096662499999999,44.375,16.875
I-2,1,24.188180000000003,24.188180000000003,44.00000000000001,44.00000000000001,26.889768749999998,21.645362500000005,48.75,38.125
I-3,1,4.11006,4.11006,4.0,4.0,4.19665625,4.19665625,3.125,3.125
R-1,2,30.025219999999997,8.789860000000003,48.0,24.0,31.459518749999994,13.19331875,35.625,21.249999999999996
R-2,1,32.13082000000001,32.13082000000001,36.0,36.0,15.7901375,15.7901375,11.25,11.25
R-3,1,13.1236,13.1236,16.0,16.0,14.831699999999998,14.831699999999998,15.000000000000002,15.000000000000002
R-4,2,23.399839999999994,9.76328,16.0,6.0,18.414756249999993,7.679887499999999,11.875,3.75
V-1,3,39.49448,16.38072,36.00000000000001,15.999999999999998,26.978331250000004,9.700687499999999,31.249999999999993,14.999999999999996
V-2,1,49.289600000000014,49.289600000000014,68.0,68.0,19.466343749999997,19.466343749999997,12.500000000000004,12.500000000000004
V-3,2,19.65766,6.346979999999999,44.00000000000001,10.0,19.59699375,11.384481249999995,40.625,28.124999999999993
V-4,2,24.04424,9.277920000000002,34.0,18.0,22.92548125,7.3873500000000005,33.125,16.875
V-5,2,21.264639999999996,7.699600000000002,42.00000000000001,11.999999999999996,22.05170624999999,7.480625000000002,34.37500000000001,13.124999999999998
V-6,2,21.387140000000002,6.15582,44.00000000000001,3.9999999999999996,21.101175,9.052368749999998,48.75,10.625
V-7,2,13.2709,8.307539999999996,27.999999999999996,16.0,12.847099999999998,8.976037499999997,33.75,13.750000000000004
V-8,1,10.7681,10.7681,8.0,8.0,10.32743125,10.32743125,9.375000000000002,9.375000000000002
V-9,2,29.007599999999993,12.846200000000001,50.0,22.000000000000004,27.0902125,13.655956250000001,35.62500000000001,20.625
V-10,2,21.23986,6.912660000000001,18.0,10.0,19.856281250000002,9.763562499999999,17.5,11.875
V-11,2,19.695619999999998,11.594539999999999,13.999999999999998,6.0,18.253031250000003,11.474737499999996,11.875,5.0
