stage,leaf,token,stage1_weight,full50_weight,cluster_size,leaf_size
1,C-1,087023402a695ba3,0.03571428571428571,0.014285714285714285,4,10
1,C-2,f077a062ad9b55e9,0.03571428571428571,0.017857142857142856,5,10
1,C-3,273f424fa2fc55ad,0.03571428571428571,0.02857142857142857,8,10
1,C-4,0670d0c81a5550c4,0.03571428571428571,0.02142857142857143,6,10
1,C-5,58d69daf413c5d5a,0.03571428571428571,0.017857142857142856,5,10
1,C-6,0122ce98b2735558,0.03571428571428571,0.025,7,10
1,C-7,1e9350ac2bc25f59,0.03571428571428571,0.03571428571428571,10,10
1,C-8,1961d1075a085a1d,0.03571428571428571,0.02142857142857143,6,10
1,C-9,918b6721bcf75d38,0.03571428571428571,0.02142857142857143,6,10
1,C-10,2bd04a0902095129,0.03571428571428571,0.03571428571428571,10,10
1,I-1,9605af7df76f5ba3,0.03571428571428571,0.02142857142857143,6,10
1,I-2,0d5b8da00d505be0,0.03571428571428571,0.03571428571428571,10,10
1,I-3,84acc78da95f56d3,0.03571428571428571,0.03571428571428571,10,10
1,R-1,0a51eebaccc95c36,0.03571428571428571,0.02142857142857143,6,10
1,R-2,20cc0fdb7e2d5c3f,0.03571428571428571,0.03571428571428571,10,10
1,R-3,132307b3c1a55f97,0.03571428571428571,0.03571428571428571,10,10
1,R-4,173369dc059d5fe9,0.03571428571428571,0.03214285714285714,9,10
1,V-1,42af8e33480d53b3,0.03571428571428571,0.014285714285714285,4,10
1,V-2,3d324bda0cec57ab,0.03571428571428571,0.03571428571428571,10,10
1,V-3,3a6525cd871a5fff,0.03571428571428571,0.017857142857142856,5,10
1,V-4,2ad17379a25d55d9,0.03571428571428571,0.017857142857142856,5,10
1,V-5,07c5114fdb395f8b,0.03571428571428571,0.025,7,10
1,V-6,8661a7e9b4a95042,0.03571428571428571,0.017857142857142856,5,10
1,V-7,a12d1a61d7cc50fe,0.03571428571428571,0.02142857142857143,6,10
1,V-8,14c0a657ac3e5bb7,0.03571428571428571,0.03571428571428571,10,10
1,V-9,0b1a626ef31150b3,0.03571428571428571,0.02142857142857143,6,10
1,V-10,63c145828c3b5fd8,0.03571428571428571,0.02142857142857143,6,10
1,V-11,32d85d373126537e,0.03571428571428571,0.03214285714285714,9,10
2,C-1,5bd2bc00e2d358e0,,0.02142857142857143,6,10
2,C-2,3a0e2f53c9585e94,,0.017857142857142856,5,10
2,C-3,01649900c5cc58c4,,0.007142857142857143,2,10
2,C-4,440a60430f4655de,,0.014285714285714285,4,10
2,C-5,9a6489254d5f5577,,0.007142857142857143,2,10
2,C-5,442b2cf63c6f570a,,0.010714285714285714,3,10
2,C-6,6f75ee5c660855e7,,0.010714285714285714,3,10
2,C-8,26119d956d46590e,,0.014285714285714285,4,10
2,C-9,8c6c4c4b507c5eb1,,0.014285714285714285,4,10
2,I-1,0bcae698fd905226,,0.014285714285714285,4,10
2,R-1,0d2403a8031f540c,,0.014285714285714285,4,10
2,R-4,061e7e1700945b03,,0.0035714285714285713,1,10
2,V-1,67abcf0964415891,,0.014285714285714285,4,10
2,V-1,0ba54149d1575f95,,0.007142857142857143,2,10
2,V-3,cc108c5480345911,,0.017857142857142856,5,10
2,V-4,2845a5483a0f57de,,0.017857142857142856,5,10
2,V-5,0b1250020ea95539,,0.010714285714285714,3,10
2,V-6,39d1f561e06054c5,,0.017857142857142856,5,10
2,V-7,0ce170237acd51c2,,0.014285714285714285,4,10
2,V-9,01a58976a2e45a3d,,0.014285714285714285,4,10
2,V-10,14d171fcb9295596,,0.014285714285714285,4,10
2,V-11,0317b218061b5c4d,,0.0035714285714285713,1,10
