unknown	063dc3e59f7158d9h1
stationary	082988f40658562ch1
traversing_traffic_light_intersection	00c1e4eb4a045f20h1
medium_magnitude_speed	07846b829b3a575eh1
traversing_pickup_dropoff	0122ce98b2735558h1
high_magnitude_speed	112db94505025ec5h1
traversing_intersection	02b68b9cc51f506ah1
on_pickup_dropoff	0fde069313a35062h1
on_stopline_stop_sign	0dd3256035e75770h1
low_magnitude_speed	56c64f7e47b15e0dh2
on_intersection	05f1a5cbc0905d8eh1
near_long_vehicle	087023402a695ba3h1
traversing_crosswalk	029585f0509d52b0h1
on_traffic_light_intersection	02a81792cbdb5dd5h1
near_multiple_vehicles	580dac44fa305877h1
following_lane_without_lead	0ce170237acd51c2h1
near_pedestrian_on_crosswalk	132307b3c1a55f97h1
on_carpark	771c4e378bef58e4h1
near_trafficcone_on_driveable	3067f3d3d5a75989h1
on_stopline_traffic_light	67bce1e28df25eaah1
near_construction_zone_sign	9ef1d618435d5e53h1
on_stopline_crosswalk	0802a51b0a1d512ch1
high_lateral_acceleration	467879c3d37054f5h1
starting_unprotected_cross_turn	2391f12d7e6a5e7fh1
starting_right_turn	813c23718919507ah1
starting_protected_cross_turn	34489cf42e005e93h2
behind_bike	99a98a7ffb075389h1
starting_protected_noncross_turn	442b2cf63c6f570ah1
