# navtest scenarios: 441 | mined distinct scenarios: 76 (123 type-slots)
# type	navtest	mined_testsplit	total	need=10
accelerating_at_crosswalk	1	4	5	10
accelerating_at_stop_sign	4	6	10	10
accelerating_at_stop_sign_no_crosswalk	1	2	3	10
accelerating_at_traffic_light	10	0	10	10
accelerating_at_traffic_light_with_lead	2	4	6	10
accelerating_at_traffic_light_without_lead	10	0	10	10
behind_bike	6	1	7	10
behind_long_vehicle	2	1	3	10
behind_pedestrian_on_driveable	2	1	3	10
changing_lane	0	10	10	10
changing_lane_to_left	0	5	5	10
changing_lane_to_right	0	8	8	10
changing_lane_with_trail	0	1	1	10
following_lane_with_lead	2	0	2	10
following_lane_with_slow_lead	10	0	10	10
following_lane_without_lead	10	0	10	10
high_lateral_acceleration	10	0	10	10
high_magnitude_jerk	0	1	1	10
high_magnitude_speed	10	0	10	10
low_magnitude_speed	10	0	10	10
medium_magnitude_speed	10	0	10	10
near_barrier_on_driveable	10	0	10	10
near_construction_zone_sign	10	0	10	10
near_high_speed_vehicle	10	0	10	10
near_long_vehicle	10	0	10	10
near_multiple_pedestrians	0	2	2	10
near_multiple_vehicles	10	0	10	10
near_pedestrian_at_pickup_dropoff	10	0	10	10
near_pedestrian_on_crosswalk	10	0	10	10
near_pedestrian_on_crosswalk_with_ego	8	2	10	10
near_trafficcone_on_driveable	10	0	10	10
on_all_way_stop_intersection	10	0	10	10
on_carpark	10	0	10	10
on_intersection	10	0	10	10
on_pickup_dropoff	10	0	10	10
on_stopline_crosswalk	10	0	10	10
on_stopline_stop_sign	10	0	10	10
on_stopline_traffic_light	10	0	10	10
on_traffic_light_intersection	10	0	10	10
starting_high_speed_turn	4	6	10	10
starting_left_turn	10	0	10	10
starting_low_speed_turn	2	1	3	10
starting_protected_cross_turn	10	0	10	10
starting_protected_noncross_turn	10	0	10	10
starting_right_turn	10	0	10	10
starting_straight_stop_sign_intersection_traversal	10	0	10	10
starting_straight_traffic_light_intersection_traversal	10	0	10	10
starting_u_turn	0	1	1	10
starting_unprotected_cross_turn	10	0	10	10
starting_unprotected_noncross_turn	10	0	10	10
stationary	10	0	10	10
stationary_at_traffic_light_with_lead	10	0	10	10
stationary_at_traffic_light_without_lead	10	0	10	10
stationary_in_traffic	10	0	10	10
stopping_at_crosswalk	2	8	10	10
stopping_at_stop_sign_no_crosswalk	2	6	8	10
stopping_at_stop_sign_with_lead	0	10	10	10
stopping_at_stop_sign_without_lead	1	9	10	10
stopping_at_traffic_light_with_lead	0	10	10	10
stopping_at_traffic_light_without_lead	0	10	10	10
stopping_with_lead	0	10	10	10
traversing_crosswalk	10	0	10	10
traversing_intersection	10	0	10	10
traversing_narrow_lane	0	1	1	10
traversing_pickup_dropoff	10	0	10	10
traversing_traffic_light_intersection	10	0	10	10
waiting_for_pedestrian_to_cross	2	3	5	10
