token	leaf	recipe	metric	best_before_lqr	best_after_lqr	best_before_pp	best_after_pp	drivor_pp	hist_seed_0	hist_seed_1	hist_seed_1024
0027991369e05ab2	R-1	-	DS	21.271	22.093	100.0	100.0	100.0	100.0	100.0	100.0
0027991369e05ab2	R-1	-	success	0	0	1	1	1	1	1	1
0027991369e05ab2	R-1	-	RC_pct	21.43	22.22	100.0	100.0	100.0	100.0	100.0	100.0
0027991369e05ab2	R-1	-	penalty	0.992549	0.994295	1.0	1.0	1.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	termination	off_drivable	off_drivable	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached
0027991369e05ab2	R-1	-	term_frame	61	63	296	300	222	304	313	304
0027991369e05ab2	R-1	-	detail	off drivable for 0.5 s through frame 61	off drivable for 0.5 s through frame 63	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered
0027991369e05ab2	R-1	-	frames	62	64	297	301	223	305	314	305
0027991369e05ab2	R-1	-	warmup	20	20	20	20	20	20	20	20
0027991369e05ab2	R-1	-	off_route_pct	0.745	0.57	0.0	0.0	0.0	0.0	0.0	0.0
0027991369e05ab2	R-1	-	coll_vehicle	0	0	0	0	0	0	0	0
0027991369e05ab2	R-1	-	coll_ped	0	0	0	0	0	0	0	0
0027991369e05ab2	R-1	-	coll_layout	0	0	0	0	0	0	0	0
0027991369e05ab2	R-1	-	red_light	0	0	0	0	0	0	0	0
0027991369e05ab2	R-1	-	comfort	0.5	0.5	0.4615	0.3571	0.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	route_completion	19.4381	19.8656	82.43	82.3445	81.3863	82.2727	81.2615	82.2727
0027991369e05ab2	R-1	-	epdms	0.7728	0.7862	0.6979	0.7065	0.7471	0.8076	0.851	0.8076
0027991369e05ab2	R-1	-	no_at_fault_collisions	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	drivable_area_compliance	0.881	0.8864	1.0	1.0	1.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	time_to_collision_within_bound	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	lane_keeping	1.0	1.0	0.1841	0.1851	0.2069	0.2807	0.5544	0.2807
0027991369e05ab2	R-1	-	history_comfort	0.9286	0.9545	0.787	0.8007	0.6355	0.9825	0.983	0.9825
0027991369e05ab2	R-1	-	extended_comfort	0.5476	0.6591	0.3285	0.4235	0.4039	0.7544	0.7415	0.7544
0027991369e05ab2	R-1	-	ego_progress	0.1552	0.1636	1.0	1.0	1.0	1.0	1.0	1.0
0027991369e05ab2	R-1	-	collision_count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0027991369e05ab2	R-1	-	avg_speed	3.1563	3.1245	2.7798	2.7401	3.6555	2.7018	2.5921	2.7018
0122ce98b2735558	C-6	-	DS	41.396	42.058	100.0	100.0	100.0	100.0	100.0	100.0
0122ce98b2735558	C-6	-	success	0	0	1	1	1	1	1	1
0122ce98b2735558	C-6	-	RC_pct	43.01	43.74	100.0	100.0	100.0	100.0	100.0	100.0
0122ce98b2735558	C-6	-	penalty	0.962498	0.961568	1.0	1.0	1.0	1.0	1.0	1.0
0122ce98b2735558	C-6	-	termination	off_drivable	off_drivable	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached	goal_reached
0122ce98b2735558	C-6	-	term_frame	80	81	254	278	330	329	450	329
0122ce98b2735558	C-6	-	detail	off drivable for 0.5 s through frame 80	off drivable for 0.5 s through frame 81	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered	goal region entered
0122ce98b2735558	C-6	-	frames	81	82	255	279	331	330	451	330
0122ce98b2735558	C-6	-	warmup	20	20	20	20	20	20	20	20
0122ce98b2735558	C-6	-	off_route_pct	3.75	3.843	0.0	0.0	0.0	0.0	0.0	0.0
0122ce98b2735558	C-6	-	coll_vehicle	0	0	0	0	0	0	0	0
0122ce98b2735558	C-6	-	coll_ped	0	0	0	0	0	0	0	0
0122ce98b2735558	C-6	-	coll_layout	0	0	0	0	0	0	0	0
0122ce98b2735558	C-6	-	red_light	0	0	0	0	0	0	0	0
0122ce98b2735558	C-6	-	comfort	1.0	1.0	0.9091	0.6667	0.4	0.9333	1.0	0.9333
0122ce98b2735558	C-6	-	route_completion	34.1129	34.3326	74.0078	74.5815	74.6792	75.736	74.9537	75.736
0122ce98b2735558	C-6	-	epdms	0.8037	0.8028	0.8068	0.7944	0.7277	0.8564	0.8713	0.8564
0122ce98b2735558	C-6	-	no_at_fault_collisions	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0122ce98b2735558	C-6	-	drivable_area_compliance	0.918	0.9194	1.0	1.0	1.0	1.0	1.0	1.0
0122ce98b2735558	C-6	-	driving_direction_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0122ce98b2735558	C-6	-	traffic_light_compliance	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0122ce98b2735558	C-6	-	time_to_collision_within_bound	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0122ce98b2735558	C-6	-	lane_keeping	0.8361	0.8548	0.7574	0.7722	0.4084	0.7194	0.6845	0.7194
0122ce98b2735558	C-6	-	history_comfort	0.9836	0.9839	0.8894	0.8185	0.7974	0.9935	0.9977	0.9935
0122ce98b2735558	C-6	-	extended_comfort	0.7213	0.6935	0.5447	0.4517	0.3601	0.7323	0.7865	0.7323
0122ce98b2735558	C-6	-	ego_progress	0.3193	0.3279	1.0	1.0	1.0	1.0	1.0	1.0
0122ce98b2735558	C-6	-	collision_count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0122ce98b2735558	C-6	-	avg_speed	4.2918	4.2663	2.9278	2.6965	2.2758	2.3148	1.6764	2.3148
02902d180b405100	C-1	-	DS	39.393	100.0	100.0	100.0	27.774	100.0	100.0	100.0
02902d180b405100	C-1	-	success	0	1	1	1	0	1	1	1
02902d180b405100	C-1	-	RC_pct	65.65	100.0	100.0	100.0	28.73	100.0	100.0	100.0
