token	model	status	DS	success	RC_pct	penalty	termination	term_frame	detail	frames	warmup	off_route_pct	coll_vehicle	coll_ped	coll_layout	red_light	comfort	route_completion	epdms	no_at_fault_collisions	drivable_area_compliance	driving_direction_compliance	traffic_light_compliance	time_to_collision_within_bound	lane_keeping	history_comfort	extended_comfort	ego_progress	collision_count	avg_speed
00185dab0ba153b9	drivor_action_best_before	scored	32.997	0	55.0	0.6	contact_at_fault	149	front with cc083cf871da5d4f	150	20	0.0	1	0	0	0	0.5	67.8797	0.8	0.9923	1.0	1.0	1.0	0.9154	0.8231	0.8231	0.3077	0.5407	1.0	4.5256
00185dab0ba153b9	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	252	goal region entered	253	20	0.0	0	0	0	0	0.0909	120.3472	0.7939	1.0	1.0	1.0	1.0	1.0	0.7382	0.6438	0.2747	1.0	0.0	4.757
0027991369e05ab2	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	296	goal region entered	297	20	0.0	0	0	0	0	0.4615	82.43	0.6979	1.0	1.0	1.0	1.0	1.0	0.1841	0.787	0.3285	1.0	0.0	2.7798
0027991369e05ab2	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	300	goal region entered	301	20	0.0	0	0	0	0	0.3571	82.3445	0.7065	1.0	1.0	1.0	1.0	1.0	0.1851	0.8007	0.4235	1.0	0.0	2.7401
0057ce5b81c35a81	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	308	goal region entered	309	8	0.0	0	0	0	0	0.4667	102.3037	0.7352	1.0	1.0	1.0	1.0	1.0	0.5282	0.8073	0.392	1.0	0.0	3.3221
0057ce5b81c35a81	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	309	goal region entered	310	8	0.0	0	0	0	0	0.3333	102.6798	0.7247	1.0	1.0	1.0	1.0	1.0	0.4702	0.7384	0.3709	1.0	0.0	3.3236
005f87dd980253a5	drivor_action_best_before	scored	9.935	0	16.56	0.6	contact_at_fault	171	front with 5437123ff06e57ff	172	8	0.0	1	0	0	0	0.25	18.3341	0.6881	0.9939	1.0	1.0	1.0	0.9573	0.8659	0.6037	0.1524	0.1523	1.0	1.0796
005f87dd980253a5	drivor_action_best_after	scored	7.605	0	15.21	0.5	contact_at_fault	48	vru with navsafe_animal	49	8	0.0	0	1	0	0	0.0	16.0969	0.7497	0.9756	1.0	1.0	1.0	0.6829	1.0	0.6585	0.2195	0.1386	1.0	3.3329
0092e40a13ea52f4	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	293	goal region entered	294	20	0.0	0	0	0	0	0.6923	272.1724	0.7992	1.0	1.0	1.0	1.0	1.0	0.7153	0.8321	0.5292	1.0	0.0	9.3056
0092e40a13ea52f4	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	320	goal region entered	321	20	0.0	0	0	0	0	0.4667	272.2043	0.7625	1.0	1.0	1.0	1.0	1.0	0.701	0.7043	0.4252	1.0	0.0	8.5239
0093ff0188ea5b90	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	242	goal region entered	243	20	0.0	0	0	0	0	0.4545	86.9934	0.7909	1.0	1.0	1.0	1.0	1.0	0.7578	0.7982	0.2556	1.0	0.0	3.582
0093ff0188ea5b90	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	263	goal region entered	264	20	0.0	0	0	0	0	0.6667	86.6474	0.8178	1.0	1.0	1.0	1.0	1.0	0.8648	0.791	0.3238	1.0	0.0	3.284
00c1e4eb4a045f20	drivor_action_best_before	scored	14.678	0	24.46	0.6	contact_at_fault	100	front with 7f415322d8cc5fef	101	8	0.0	1	0	0	0	0.25	36.3056	0.6969	0.9892	1.0	1.0	1.0	0.871	0.9355	0.7312	0.2581	0.2196	1.0	3.6439
00c1e4eb4a045f20	drivor_action_best_after	scored	14.678	0	24.46	0.6	contact_at_fault	99	front with 7f415322d8cc5fef	100	8	0.0	1	0	0	0	0.25	35.9452	0.7201	0.9891	1.0	1.0	1.0	0.8913	1.0	0.7391	0.3261	0.2196	1.0	3.6443
0122ce98b2735558	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	254	goal region entered	255	20	0.0	0	0	0	0	0.9091	74.0078	0.8068	1.0	1.0	1.0	1.0	1.0	0.7574	0.8894	0.5447	1.0	0.0	2.9278
0122ce98b2735558	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	278	goal region entered	279	20	0.0	0	0	0	0	0.6667	74.5815	0.7944	1.0	1.0	1.0	1.0	1.0	0.7722	0.8185	0.4517	1.0	0.0	2.6965
01649900c5cc58c4	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	243	goal region entered	244	20	0.0	0	0	0	0	0.6364	95.5697	0.7981	1.0	1.0	1.0	1.0	1.0	0.4777	0.7991	0.3795	1.0	0.0	3.9261
01649900c5cc58c4	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	236	goal region entered	237	20	0.0	0	0	0	0	0.5	95.6678	0.8014	1.0	1.0	1.0	1.0	1.0	0.4931	0.7972	0.341	1.0	0.0	4.0462
0166f867762a56e1	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	254	goal region entered	255	20	0.0	0	0	0	0	0.2727	140.9782	0.7243	1.0	1.0	1.0	1.0	1.0	0.5915	0.6213	0.2426	1.0	0.0	5.5853
0166f867762a56e1	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	254	goal region entered	255	20	0.0	0	0	0	0	0.3636	141.1165	0.7309	1.0	1.0	1.0	1.0	1.0	0.6723	0.6128	0.2128	1.0	0.0	5.5907
01a58976a2e45a3d	drivor_action_best_before	scored	25.238	0	26.5	0.952233	off_drivable	122	off drivable for 0.5 s through frame 122	123	20	4.777	0	0	0	0	0.6	38.6971	0.7993	1.0	0.9515	1.0	1.0	1.0	1.0	0.7282	0.2718	0.2643	0.0	3.1461
01a58976a2e45a3d	drivor_action_best_after	scored	23.168	0	23.9	0.969332	off_drivable	168	off drivable for 0.5 s through frame 168	169	20	3.067	0	0	0	0	0.1429	55.8447	0.7519	1.0	0.9664	1.0	1.0	1.0	0.9396	0.745	0.2483	0.2383	0.0	3.3044
02015675e4585611	drivor_action_best_before	scored	18.015	0	18.02	1.0	deadlock	243	< 0.1 m/s for 5 s	252	8	0.0	0	0	0	0	0.2727	25.5978	0.5917	1.0	1.0	1.0	1.0	1.0	0.459	0.6557	0.2623	0.129	0.0	1.0406
02015675e4585611	drivor_action_best_after	scored	18.015	0	18.02	1.0	deadlock	229	< 0.1 m/s for 5 s	247	8	0.0	0	0	0	0	0.4545	26.3287	0.5791	1.0	1.0	1.0	1.0	1.0	0.2803	0.728	0.2552	0.129	0.0	1.0913
02379e524f105926	drivor_action_best_before	scored	7.018	0	14.04	0.5	contact_at_fault	39	vru with navsafe_ped_3	40	8	0.0	0	1	0	0	0.0	16.8878	0.7656	0.9688	1.0	1.0	1.0	0.6562	1.0	0.7188	0.4062	0.1289	1.0	4.2805
02379e524f105926	drivor_action_best_after	scored	6.739	0	13.48	0.5	contact_at_fault	38	vru with navsafe_ped_3	39	8	0.0	0	1	0	0	0.0	16.4496	0.7762	0.9677	1.0	1.0	1.0	0.6774	1.0	0.7097	0.4194	0.1232	1.0	4.2779
02902d180b405100	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	336	goal region entered	337	20	0.0	0	0	0	0	0.1333	162.0161	0.7619	1.0	1.0	1.0	1.0	1.0	0.9022	0.6404	0.2713	1.0	0.0	4.8104
02902d180b405100	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	335	goal region entered	336	20	0.0	0	0	0	0	0.0667	161.956	0.7502	1.0	1.0	1.0	1.0	1.0	0.7975	0.6424	0.269	1.0	0.0	4.823
029585f0509d52b0	drivor_action_best_before	scored	23.423	0	26.14	0.895984	off_drivable	68	off drivable for 0.5 s through frame 68	69	20	10.402	0	0	0	0	0.0	25.393	0.6391	1.0	0.898	1.0	1.0	1.0	1.0	0.6122	0.1837	0.1987	0.0	3.7067
029585f0509d52b0	drivor_action_best_after	scored	23.398	0	26.14	0.895019	off_drivable	68	off drivable for 0.5 s through frame 68	69	20	10.498	0	0	0	0	0.0	25.637	0.6388	1.0	0.898	1.0	1.0	1.0	1.0	0.6327	0.1633	0.1987	0.0	3.742
02b68b9cc51f506a	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	214	goal region entered	215	8	0.0	0	0	0	0	0.1	84.4178	0.7436	1.0	1.0	1.0	1.0	1.0	0.57	0.686	0.2705	1.0	0.0	3.9484
02b68b9cc51f506a	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	218	goal region entered	219	8	0.0	0	0	0	0	0.2	84.0744	0.7472	1.0	1.0	1.0	1.0	1.0	0.564	0.6825	0.2607	1.0	0.0	3.8606
02f1ad081f41550e	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	246	goal region entered	247	8	0.0	0	0	0	0	0.4545	64.2422	0.7874	1.0	1.0	1.0	1.0	1.0	1.0	0.8075	0.3766	1.0	0.0	2.601
02f1ad081f41550e	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	238	goal region entered	239	8	0.0	0	0	0	0	0.5455	64.4047	0.805	1.0	1.0	1.0	1.0	1.0	1.0	0.8225	0.3896	1.0	0.0	2.6949
0317b218061b5c4d	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	236	goal region entered	237	20	0.0	0	0	0	0	0.7	67.9103	0.7712	1.0	1.0	1.0	1.0	1.0	0.3502	0.7788	0.3825	1.0	0.0	2.8655
0317b218061b5c4d	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	235	goal region entered	236	20	0.0	0	0	0	0	0.7	68.2608	0.7726	1.0	1.0	1.0	1.0	1.0	0.3565	0.8102	0.3565	1.0	0.0	2.8924
0334cae9f1ef56ae	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	259	goal region entered	260	20	0.0	0	0	0	0	0.4167	48.4599	0.8489	1.0	1.0	1.0	1.0	1.0	0.9167	0.8	0.3792	1.0	0.0	1.8645
0334cae9f1ef56ae	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	260	goal region entered	261	20	0.0	0	0	0	0	0.6667	48.4083	0.873	1.0	1.0	1.0	1.0	1.0	1.0	0.805	0.4523	1.0	0.0	1.8554
0371700bf65b51e0	drivor_action_best_before	scored	9.957	0	9.96	1.0	contact_not_at_fault	43	vru with navsafe_animal	44	8	0.0	0	0	0	0	0.0	12.6838	0.7443	1.0	1.0	1.0	1.0	0.8056	0.5278	0.7222	0.1944	0.0928	1.0	2.8992
0371700bf65b51e0	drivor_action_best_after	scored	9.957	0	9.96	1.0	contact_not_at_fault	43	vru with navsafe_animal	44	8	0.0	0	0	0	0	0.0	13.0377	0.762	1.0	1.0	1.0	1.0	0.8611	0.5278	0.6944	0.2222	0.0928	1.0	2.9796
03b66343e1ac5d68	drivor_action_best_before	scored	6.987	0	11.65	0.6	contact_at_fault	130	front with navsafe_blocker_1	131	8	0.0	1	0	0	0	0.8333	27.0388	0.668	0.9919	1.0	1.0	1.0	0.9187	1.0	0.7805	0.5447	0.0811	1.0	2.1422
03b66343e1ac5d68	drivor_action_best_after	scored	6.987	0	11.65	0.6	contact_at_fault	134	front with navsafe_blocker_1	135	8	0.0	1	0	0	0	0.8333	27.0965	0.679	0.9921	1.0	1.0	1.0	0.9134	1.0	0.8189	0.6142	0.0811	1.0	2.083
03dfd23cf97c590f	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	453	goal region entered	454	20	0.0	0	0	0	0	0.1905	187.0219	0.6902	1.0	1.0	1.0	1.0	1.0	0.5115	0.7212	0.2788	1.0	0.0	4.1484
03dfd23cf97c590f	drivor_action_best_after	scored	100.0	1	100.0	1.0	goal_reached	420	goal region entered	421	20	0.0	0	0	0	0	0.0	186.9718	0.686	1.0	1.0	1.0	1.0	1.0	0.6185	0.6434	0.2195	1.0	0.0	4.4724
0436604d25145231	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	150	goal region entered	151	20	0.0	0	0	0	0	0.3333	74.8987	0.8349	1.0	1.0	1.0	1.0	1.0	0.8092	0.626	0.2443	1.0	0.0	4.9602
0436604d25145231	drivor_action_best_after	scored	68.272	0	73.4	0.930122	off_drivable	134	off drivable for 0.5 s through frame 134	135	20	6.988	0	0	0	0	0.2	57.7477	0.8272	1.0	0.9565	1.0	1.0	1.0	1.0	0.6609	0.2522	0.7329	0.0	4.2776
045044cb9f21527e	drivor_action_best_before	scored	100.0	1	100.0	1.0	goal_reached	492	goal region entered	493	20	0.0	0	0	0	0	0.6957	49.4488	0.7054	1.0	1.0	1.0	1.0	1.0	0.8013	0.6765	0.2368	1.0	0.0	1.011
